datetime,open,high,low,close,volume,ticker,ema9,sma10,sma20,sma50,sma100,sma150,sma200,oa_ema9,oa_sma10,oa_sma20,oa_sma50,oa_sma100,oa_sma150,oa_sma200,OpenCloseRange$,OpenCloseRange%,GreenCandle,RedCandle,DojiCandle,NextGreen,NextRed,PrevGreen,PrevRed,GapDir,Gap$,Gap%
2005-07-27 16:00:00,123.5,123.89,123.05,123.79,45269200,SPY,123.06954586129524,123.11399999999999,121.87749999999998,120.8168,119.16680000000001,119.283,118.55675,1,1,1,1,1,1,1,0.29000000000000625,0.23481781376518723,1,0,0,1,0,1,0,Up,0.1599999999999966,0.12972271769093285
2005-07-28 16:00:00,123.99,124.64,123.64,124.57,48448900,SPY,123.3696366890362,123.28,122.11449999999999,120.9566,119.1846,119.30893333333333,118.61695,1,1,1,1,1,1,1,0.5799999999999983,0.4677796596499704,1,0,0,0,1,1,0,Up,0.19999999999998863,0.1615639389288219
2005-07-29 16:00:00,124.41,124.63,123.5,123.74,62513200,SPY,123.44370935122897,123.36999999999998,122.3425,121.0556,119.1987,119.32873333333332,118.67795,1,1,1,1,1,1,1,-0.6700000000000017,-0.5385419178522641,0,1,0,0,1,1,0,Down,-0.1599999999999966,-0.12844183992935426
2005-08-01 16:00:00,123.83,124.04,123.45,123.65,42941100,SPY,123.48496748098319,123.5,122.54849999999999,121.1428,119.2255,119.3496,118.743,1,1,1,1,1,1,1,-0.1799999999999926,-0.14536057498182395,0,1,0,1,0,0,1,Up,0.09000000000000341,0.07273315015355052
2005-08-02 16:00:00,123.87,124.6,123.74,124.39,46244300,SPY,123.66597398478656,123.63699999999999,122.7435,121.2482,119.25699999999999,119.37099999999998,118.80865,1,1,1,1,1,1,1,0.519999999999996,0.41979494631468156,1,0,0,1,0,0,1,Up,0.21999999999999886,0.17792155276991414
2005-08-03 16:00:00,124.25,124.74,124.12,124.72,37199000,SPY,123.87677918782926,123.76499999999999,123.00550000000001,121.34700000000001,119.30030000000001,119.39340000000001,118.87385,1,1,1,1,1,1,1,0.46999999999999886,0.3782696177062365,1,0,0,0,1,1,0,Down,-0.14000000000000057,-0.11254924029262849
2005-08-04 16:00:00,124.23,124.31,123.57,123.72,51044800,SPY,123.84542335026342,123.86499999999998,123.19399999999999,121.43140000000001,119.32610000000001,119.41066666666669,118.93875,1,1,1,1,1,1,1,-0.5100000000000051,-0.41052885776382925,0,1,0,0,1,1,0,Down,-0.4899999999999949,-0.3928800513149414
2005-08-05 16:00:00,123.45,123.98,122.67,122.88,53737900,SPY,123.65233868021073,123.799,123.272,121.5008,119.35349999999998,119.42406666666668,119.00055,0,0,1,1,1,1,1,-0.5700000000000074,-0.46172539489672526,0,1,0,0,1,0,1,Down,-0.269999999999996,-0.21823472356934692
2005-08-08 16:00:00,123.17,123.41,122.38,122.65,48247000,SPY,123.45187094416859,123.74499999999998,123.3075,121.5528,119.3888,119.43973333333332,119.05760000000001,0,0,0,1,1,1,1,-0.519999999999996,-0.4221807258260908,0,1,0,1,0,0,1,Up,0.29000000000000625,0.23600260416667176
2005-08-09 16:00:00,123.06,123.59,122.87,123.39,47525300,SPY,123.43949675533487,123.75,123.36399999999999,121.6156,119.4291,119.47013333333334,119.12459999999999,0,0,0,1,1,1,1,0.3299999999999983,0.268161872257434,1,0,0,0,1,0,1,Up,0.4099999999999966,0.33428454953118353
2005-08-10 16:00:00,123.82,124.5,122.82,123.33,73118700,SPY,123.4175974042679,123.704,123.40899999999999,121.6926,119.477,119.5056,119.19194999999999,1,1,1,1,1,1,1,-0.4899999999999949,-0.39573574543692047,0,1,0,1,0,1,0,Up,0.4299999999999926,0.3484885322959661
2005-08-11 16:00:00,123.27,124.03,123.01,123.82,58888000,SPY,123.49807792341431,123.62899999999999,123.45450000000001,121.759,119.5342,119.54033333333335,119.25335,0,0,0,1,1,1,1,0.5499999999999972,0.44617506287012015,1,0,0,0,1,0,1,Down,-0.060000000000002274,-0.04864996351252921
2005-08-12 16:00:00,123.57,123.69,122.75,123.06,54814600,SPY,123.41046233873146,123.561,123.46549999999999,121.805,119.5958,119.57113333333332,119.30425000000001,1,1,1,1,1,1,1,-0.5099999999999909,-0.41272153435299097,0,1,0,1,0,1,0,Down,-0.25,-0.20190599256985947
2005-08-15 16:00:00,123.22,123.87,122.83,123.82,36229300,SPY,123.49236987098517,123.578,123.53900000000002,121.8784,119.66400000000002,119.60326666666666,119.35725000000001,0,0,0,1,1,1,1,0.5999999999999943,0.48693393929556433,1,0,0,0,1,0,1,Up,0.1599999999999966,0.13001787745814772
2005-08-16 16:00:00,123.44,123.52,122.09,122.21,72272600,SPY,123.23589589678815,123.35999999999999,123.4985,121.9218,119.7147,119.63013333333333,119.4023,1,1,0,1,1,1,1,-1.230000000000004,-0.9964355152300746,0,1,0,1,0,1,0,Down,-0.37999999999999545,-0.30689710870618275
2005-08-17 16:00:00,122.19,122.87,122.03,122.2,62513800,SPY,123.02871671743053,123.10800000000002,123.4365,121.9632,119.76360000000001,119.65433333333331,119.44575,0,0,0,1,1,1,1,0.010000000000005116,0.008183975775435892,1,0,0,1,0,0,1,Down,-0.01999999999999602,-0.0163652728909222
2005-08-18 16:00:00,122.05,122.56,121.84,122.19,53546700,SPY,122.86097337394443,122.955,123.41,122.0088,119.82019999999999,119.68480000000001,119.48895,0,0,0,1,1,1,1,0.14000000000000057,0.11470708725932041,1,0,0,0,1,1,0,Down,-0.15000000000000568,-0.12274959083470185
2005-08-19 16:00:00,122.63,122.82,122.2,122.47,39983100,SPY,122.78277869915556,122.91399999999999,123.35649999999998,122.04860000000001,119.86310000000002,119.71299999999998,119.5264,0,0,0,1,1,1,1,-0.1599999999999966,-0.1304737829242409,0,1,0,0,1,1,0,Up,0.4399999999999977,0.3600949341189931
2005-08-22 16:00:00,122.58,123.23,121.88,122.47,69950600,SPY,122.72022295932445,122.896,123.3205,122.094,119.9082,119.733,119.556,0,0,0,1,1,1,1,-0.10999999999999943,-0.08973731440691747,0,1,0,0,1,0,1,Up,0.10999999999999943,0.08981791459132803
2005-08-23 16:00:00,122.5,122.61,121.15,122.24,56763000,SPY,122.62417836745956,122.78099999999999,123.2655,122.12719999999999,119.9563,119.75980000000001,119.5808,0,0,0,1,1,1,1,-0.2600000000000051,-0.21224489795918783,0,1,0,0,1,0,1,Up,0.030000000000001137,0.02449579488854506
2005-08-24 16:00:00,121.94,122.73,121.09,121.15,79139600,SPY,122.32934269396766,122.56300000000002,123.1335,122.133,119.9915,119.78413333333333,119.601,0,0,0,0,1,1,1,-0.789999999999992,-0.6478596030834772,0,1,0,1,0,0,1,Down,-0.29999999999999716,-0.24541884816753698
2005-08-25 16:00:00,121.35,121.67,121.21,121.59,35647400,SPY,122.18147415517413,122.33999999999999,122.9845,122.14299999999999,120.0255,119.8162,119.62455,0,0,0,0,1,1,1,0.2400000000000091,0.1977750309023561,1,0,0,0,1,0,1,Up,0.19999999999998863,0.16508460586049412
2005-08-26 16:00:00,121.48,121.49,120.68,120.76,61963500,SPY,121.89717932413932,122.10999999999999,122.8355,122.1302,120.04709999999999,119.84426666666668,119.6435,0,0,0,0,1,1,1,-0.7199999999999989,-0.5926901547579839,0,1,0,1,0,1,0,Down,-0.10999999999999943,-0.09046796611563404
2005-08-29 16:00:00,120.41,121.78,120.38,121.69,56204000,SPY,121.85574345931147,121.897,122.7375,122.13679999999998,120.0716,119.87633333333333,119.66265,0,0,0,0,1,1,1,1.2800000000000011,1.063034631675111,1,0,0,0,1,0,1,Down,-0.3500000000000085,-0.28983106989069934
2005-08-30 16:00:00,121.25,121.3,120.39,121.05,74325000,SPY,121.69459476744919,121.78099999999999,122.5705,122.12979999999999,120.1021,119.90180000000001,119.67395,0,0,0,0,1,1,1,-0.20000000000000284,-0.16494845360824978,0,1,0,1,0,1,0,Down,-0.4399999999999977,-0.36157449256306823
2005-08-31 16:00:00,121.19,122.66,120.74,122.58,103022800,SPY,121.87167581395936,121.81899999999999,122.4635,122.15199999999999,120.14699999999999,119.93613333333334,119.69319999999999,0,0,0,0,1,1,1,1.3900000000000006,1.1469593200759143,1,0,0,0,0,0,1,Up,0.14000000000000057,0.11565468814539494
2005-09-01 16:00:00,122.49,123.15,121.93,122.49,74590100,SPY,121.9953406511675,121.849,122.402,122.17040000000001,120.18490000000001,119.96986666666666,119.71625,1,1,1,1,1,1,1,0.0,0.0,0,0,1,0,1,1,0,Down,-0.09000000000000341,-0.07342143906020836
2005-09-02 16:00:00,122.85,122.88,122.04,122.27,47663500,SPY,122.05027252093402,121.829,122.3715,122.21860000000001,120.23459999999999,119.99726666666666,119.73470000000002,1,1,1,1,1,1,1,-0.5799999999999983,-0.47212047212047076,0,1,0,1,0,0,0,Up,0.35999999999999943,0.29390154298310023
2005-09-06 16:00:00,122.66,123.8,122.65,123.7,57258600,SPY,122.38021801674722,121.952,122.424,122.31299999999999,120.31389999999999,120.0292,119.75949999999999,1,1,1,1,1,1,1,1.0400000000000063,0.8478721669656011,1,0,0,1,0,0,1,Up,0.39000000000000057,0.31896622229492155
2005-09-07 16:00:00,123.63,124.13,123.46,123.91,41772100,SPY,122.68617441339778,122.119,122.45,122.4082,120.41149999999999,120.06013333333334,119.79195,1,1,1,1,1,1,1,0.28000000000000114,0.2264822454096911,1,0,0,0,1,1,0,Down,-0.07000000000000739,-0.05658852061439562
2005-09-08 16:00:00,123.66,124.0,123.31,123.5,39074300,SPY,122.84893953071823,122.354,122.4585,122.47519999999999,120.5015,120.0904,119.81954999999999,1,1,1,1,1,1,1,-0.1599999999999966,-0.12938702895034498,0,1,0,1,0,1,0,Down,-0.25,-0.2017593414575095
2005-09-09 16:00:00,123.83,124.74,123.8,124.6,44113400,SPY,123.19915162457458,122.655,122.49749999999999,122.5706,120.5934,120.11953333333334,119.85175000000001,1,1,1,1,1,1,1,0.769999999999996,0.6218202374222692,1,0,0,0,1,0,1,Up,0.3299999999999983,0.2672064777327921
2005-09-12 16:00:00,124.45,124.67,124.27,124.35,33029700,SPY,123.42932129965968,123.01400000000001,122.56200000000001,122.67400000000002,120.69890000000001,120.14806666666667,119.8813,1,1,1,1,1,1,1,-0.10000000000000853,-0.08035355564484413,0,1,0,0,1,1,0,Down,-0.14999999999999147,-0.12038523274477647
2005-09-13 16:00:00,124.13,124.42,123.52,123.66,58479400,SPY,123.47545703972774,123.21099999999998,122.554,122.75659999999999,120.7754,120.17106666666666,119.90785,1,1,1,1,1,1,1,-0.46999999999999886,-0.3786353016998299,0,1,0,0,1,0,1,Down,-0.21999999999999886,-0.17691998391636418
2005-09-14 16:00:00,123.75,123.92,123.02,123.21,55202500,SPY,123.4223656317822,123.42699999999999,122.604,122.811,120.8518,120.19706666666667,119.93485000000001,1,1,1,1,1,1,1,-0.5400000000000063,-0.4363636363636414,0,1,0,0,1,0,1,Up,0.09000000000000341,0.07278020378457335
2005-09-15 16:00:00,123.51,123.65,122.9,123.15,73656500,SPY,123.36789250542577,123.48400000000001,122.65150000000001,122.8844,120.92,120.2198,119.96115,1,1,1,1,1,1,1,-0.35999999999999943,-0.2914743745445708,0,1,0,1,0,0,1,Up,0.30000000000001137,0.2434867299732257
2005-09-16 16:00:00,123.28,123.74,122.87,123.5,75436000,SPY,123.39431400434063,123.58500000000001,122.71700000000001,122.9554,121.00299999999999,120.238,119.9825,0,0,1,1,1,1,1,0.21999999999999886,0.17845554834522945,1,0,0,0,1,0,1,Up,0.12999999999999545,0.10556232237108845
2005-09-19 16:00:00,123.47,123.55,122.64,123.09,53376100,SPY,123.33345120347252,123.667,122.748,122.9908,121.0774,120.25406666666667,120.00129999999999,1,0,1,1,1,1,1,-0.37999999999999545,-0.3077670689236215,0,1,0,0,1,1,0,Down,-0.030000000000001137,-0.02429149797570942
2005-09-20 16:00:00,123.21,123.61,121.87,122.05,85005400,SPY,123.07676096277802,123.502,122.727,122.99300000000001,121.1559,120.2602,120.01529999999998,1,0,1,1,1,1,1,-1.1599999999999966,-0.941482022563101,0,1,0,0,1,0,1,Up,0.11999999999999034,0.09748964172555881
2005-09-21 16:00:00,121.79,121.87,120.78,120.91,94516500,SPY,122.64340877022242,123.202,122.6605,122.96600000000001,121.2075,120.2582,120.0238,0,0,0,0,1,1,1,-0.8800000000000097,-0.7225552179982015,0,1,0,1,0,0,1,Down,-0.2599999999999909,-0.21302744776730104
2005-09-22 16:00:00,120.95,121.66,120.44,121.34,84680300,SPY,122.38272701617794,122.98599999999999,122.67,122.9442,121.2569,120.2656,120.04,0,0,0,0,0,1,1,0.39000000000000057,0.32244729226953334,1,0,0,1,0,0,1,Up,0.04000000000000625,0.03308245802663655
2005-09-23 16:00:00,121.24,121.89,120.9,121.44,59424800,SPY,122.19418161294236,122.67,122.6625,122.9148,121.30529999999999,120.2726,120.05325,0,0,0,0,0,1,1,0.20000000000000284,0.16496205872649528,1,0,0,0,1,1,0,Down,-0.10000000000000853,-0.08241305422779671
2005-09-26 16:00:00,122.02,122.24,121.08,121.58,70426300,SPY,122.07134529035389,122.39299999999999,122.7035,122.88959999999999,121.34609999999999,120.29246666666668,120.0651,0,0,0,0,1,1,1,-0.4399999999999977,-0.3605966235043417,0,1,0,1,0,1,0,Up,0.5799999999999983,0.47760210803688924
2005-09-27 16:00:00,121.52,121.99,121.02,121.55,66156600,SPY,121.96707623228312,122.18199999999999,122.69649999999999,122.87360000000001,121.387,120.30646666666668,120.07619999999999,0,0,0,0,1,1,1,0.030000000000001137,0.024687294272548663,1,0,0,0,1,0,1,Down,-0.060000000000002274,-0.04935022207600121
2005-09-28 16:00:00,121.91,122.12,121.2,121.67,58709400,SPY,121.90766098582651,122.02799999999999,122.72749999999999,122.8466,121.4328,120.31599999999999,120.0827,1,0,0,0,1,1,1,-0.23999999999999488,-0.1968665408908169,0,1,0,1,0,1,0,Up,0.35999999999999943,0.2961744138214722
2005-09-29 16:00:00,121.55,122.86,121.08,122.66,66646800,SPY,122.05812878866121,121.979,122.73150000000001,122.831,121.4812,120.32419999999998,120.09205,0,0,0,0,1,1,1,1.1099999999999994,0.9132044426162068,1,0,0,1,0,0,1,Down,-0.12000000000000455,-0.09862743486480197
2005-09-30 16:00:00,122.62,123.04,122.45,123.04,47827600,SPY,122.25450303092897,121.93299999999999,122.75900000000001,122.8374,121.5456,120.34026666666668,120.10285,1,1,0,0,1,1,1,0.4200000000000017,0.34252161148263066,1,0,0,0,1,1,0,Down,-0.03999999999999204,-0.03261046796020874
2005-10-03 16:00:00,122.96,123.34,122.45,122.6,51017300,SPY,122.32360242474319,121.88399999999999,122.77550000000001,122.8186,121.5992,120.3494,120.1118,1,1,1,1,1,1,1,-0.35999999999999943,-0.2927781392322702,0,1,0,0,1,1,0,Down,-0.0800000000000125,-0.06501950585176569
