"Date","Time","Open","High","Low","Close","Vol","OI"
09/16/2020,16:00,341.51,343.06,338.52,338.82,82216180,0
09/17/2020,16:00,333.56,337.70,332.99,335.84,91524523,0
09/18/2020,16:00,335.37,335.49,327.97,330.65,105882115,0
09/21/2020,16:00,325.70,327.13,321.73,326.97,99451863,0
09/22/2020,16:00,328.57,330.90,325.86,330.30,63612110,0
09/23/2020,16:00,330.90,331.20,322.10,322.64,93116621,0
09/24/2020,16:00,321.22,326.80,319.80,323.50,76689985,0
09/25/2020,16:00,322.58,329.58,321.64,328.73,71071810,0
09/28/2020,16:00,333.22,334.96,332.15,334.19,64585879,0
09/29/2020,16:00,333.97,334.77,331.62,332.37,51535230,0
09/30/2020,16:00,333.09,338.29,332.88,334.89,104082735,0
10/01/2020,16:00,337.69,338.74,335.01,337.04,88704074,0
10/02/2020,16:00,331.70,335.92,331.19,333.84,89435074,0
10/05/2020,16:00,336.06,339.96,336.01,339.76,45714728,0
10/06/2020,16:00,339.91,342.17,334.38,334.93,90131884,0
10/07/2020,16:00,338.12,341.63,338.09,340.76,57002696,0
10/08/2020,16:00,342.85,343.85,341.86,343.78,45242496,0
10/09/2020,16:00,345.56,347.35,344.89,346.85,59528939,0
10/12/2020,16:00,349.59,354.02,349.06,352.43,80389564,0
10/13/2020,16:00,352.28,352.47,349.09,350.13,73255874,0
10/14/2020,16:00,350.75,351.93,347.14,347.93,57960509,0
10/15/2020,16:00,343.71,348.02,343.13,347.50,60359115,0
10/16/2020,16:00,348.96,350.75,347.10,347.29,89515325,0
10/19/2020,16:00,348.65,349.33,341.04,342.01,68425858,0
10/20/2020,16:00,343.46,346.88,342.64,343.38,60051881,0
10/21/2020,16:00,343.33,345.67,342.40,342.73,63575099,0
10/22/2020,16:00,342.96,345.24,340.65,344.61,55399347,0
10/23/2020,16:00,345.93,345.99,343.13,345.78,49149016,0
10/26/2020,16:00,342.13,342.98,335.62,339.39,91475508,0
10/27/2020,16:00,339.76,340.12,337.99,338.22,65995046,0
10/28/2020,16:00,332.10,332.84,326.13,326.66,127095311,0
10/29/2020,16:00,326.91,333.40,325.09,329.98,90601370,0
10/30/2020,16:00,328.28,329.69,322.60,326.54,120451402,0
11/02/2020,16:00,330.20,332.36,327.24,330.20,86070036,0
11/03/2020,16:00,333.69,338.25,333.17,336.03,93294493,0
11/04/2020,16:00,340.86,347.94,339.59,343.54,126961893,0
11/05/2020,16:00,349.24,352.19,348.86,350.24,82040094,0
11/06/2020,16:00,349.93,351.51,347.65,350.16,74975371,0
11/09/2020,16:00,363.97,364.38,354.06,354.56,172304807,0
11/10/2020,16:00,353.49,355.18,350.51,354.04,85554225,0
11/11/2020,16:00,356.40,357.56,355.06,356.67,58650898,0
11/12/2020,16:00,355.58,356.72,351.26,353.21,68122203,0
11/13/2020,16:00,355.27,358.90,354.71,358.10,62963567,0
11/16/2020,16:00,360.98,362.78,359.59,362.57,74541145,0
11/17/2020,16:00,359.97,361.92,358.34,360.62,66111197,0
11/18/2020,16:00,360.91,361.50,356.24,356.28,70592097,0
11/19/2020,16:00,355.60,358.18,354.15,357.78,59941449,0
11/20/2020,16:00,357.50,357.72,355.25,355.33,70414625,0
11/23/2020,16:00,357.28,358.82,354.87,357.46,63231183,0
11/24/2020,16:00,360.21,363.81,359.29,363.22,62418937,0
11/25/2020,16:00,363.13,363.16,361.48,362.66,45330898,0
11/27/2020,16:00,363.84,364.18,362.58,363.67,28516063,0
11/30/2020,16:00,362.83,363.12,359.17,362.06,83874236,0
12/01/2020,16:00,365.57,367.68,364.93,366.02,74505469,0
12/02/2020,16:00,364.82,366.96,364.20,366.79,45927306,0
12/03/2020,16:00,366.68,368.19,365.50,366.69,62882349,0
12/04/2020,16:00,367.32,369.85,367.22,369.85,50751913,0
12/07/2020,16:00,369.02,369.62,367.72,369.09,48944459,0
12/08/2020,16:00,367.72,370.78,367.67,370.17,42458959,0
12/09/2020,16:00,370.88,371.05,365.95,366.85,74098712,0
12/10/2020,16:00,365.37,367.86,364.43,366.73,57738051,0
12/11/2020,16:00,364.90,366.74,363.26,366.30,57699598,0
12/14/2020,16:00,368.64,369.80,364.47,364.66,69218975,0
12/15/2020,16:00,367.40,369.59,365.92,369.59,64072436,0
12/16/2020,16:00,369.82,371.16,368.87,370.17,58422930,0
12/17/2020,16:00,371.94,372.46,371.05,372.24,64120188,0
12/18/2020,16:00,370.97,371.15,367.02,369.18,136557044,0
12/21/2020,16:00,364.97,368.81,362.03,367.86,96387900,0
12/22/2020,16:00,368.21,368.33,366.03,367.24,48389469,0
12/23/2020,16:00,368.28,369.62,367.22,367.57,46201417,0
12/24/2020,16:00,368.08,369.03,367.45,369.00,26459752,0
12/28/2020,16:00,371.74,372.59,371.07,372.17,39001057,0
12/29/2020,16:00,373.81,374.00,370.83,371.46,53680501,0
12/30/2020,16:00,372.34,373.10,371.57,371.99,49455316,0
12/31/2020,16:00,371.78,374.66,371.23,373.88,78521358,0
01/04/2021,16:00,375.31,375.45,364.82,368.79,110212419,0
01/05/2021,16:00,368.10,372.50,368.05,371.33,66428975,0
01/06/2021,16:00,369.71,376.98,369.12,373.55,107998066,0
01/07/2021,16:00,376.10,379.90,375.91,379.10,68767400,0
01/08/2021,16:00,380.59,381.49,377.10,381.26,71679691,0
01/11/2021,16:00,377.85,380.58,377.72,378.69,51176819,0
01/12/2021,16:00,378.89,379.86,376.36,378.77,52547816,0
01/13/2021,16:00,378.69,380.86,377.85,379.79,45304086,0
01/14/2021,16:00,380.59,381.13,378.10,378.46,49989342,0
01/15/2021,16:00,376.72,377.58,373.70,375.70,107163238,0
01/19/2021,16:00,378.34,379.23,376.75,378.65,51233301,0
01/20/2021,16:00,381.11,384.79,380.69,383.89,61836062,0
01/21/2021,16:00,384.49,384.95,383.25,384.24,47957684,0
01/22/2021,16:00,382.25,384.13,381.84,382.88,52137632,0
01/25/2021,16:00,383.67,384.77,378.46,384.39,70403235,0
01/26/2021,16:00,385.41,385.85,383.54,383.79,42665558,0
01/27/2021,16:00,380.22,380.32,372.01,374.41,123352917,0
01/28/2021,16:00,376.36,381.93,375.89,377.63,94199023,0
01/29/2021,16:00,375.63,376.67,368.27,370.07,126769305,0
02/01/2021,16:00,373.72,377.34,371.42,376.23,75818915,0
02/02/2021,16:00,379.65,383.22,376.32,381.55,64450742,0
02/03/2021,16:00,382.44,383.70,380.48,381.85,52427240,0
02/04/2021,16:00,382.96,386.24,381.97,386.19,47142788,0
02/05/2021,16:00,388.20,388.47,386.14,387.71,48671839,0
02/08/2021,16:00,389.27,390.56,388.35,390.51,38365197,0
02/09/2021,16:00,389.61,390.89,389.17,390.25,35552200,0
02/10/2021,16:00,392.12,392.28,387.50,390.08,59155192,0
02/11/2021,16:00,391.24,391.69,388.10,390.71,42913710,0
02/12/2021,16:00,389.85,392.90,389.77,392.64,50594200,0
02/16/2021,16:00,393.96,394.17,391.53,392.30,50977982,0
02/17/2021,16:00,390.42,392.66,389.33,392.39,52807204,0
02/18/2021,16:00,389.59,391.52,387.74,390.72,59714048,0
02/19/2021,16:00,392.07,392.38,389.55,390.03,83243389,0
02/22/2021,16:00,387.06,389.62,386.74,387.03,67414471,0
02/23/2021,16:00,384.66,388.95,380.20,387.50,107284128,0
02/24/2021,16:00,386.33,392.23,385.27,391.77,72438248,0
02/25/2021,16:00,390.41,391.88,380.78,382.33,146671684,0
02/26/2021,16:00,384.35,385.58,378.23,380.36,152703139,0
03/01/2021,16:00,385.59,390.92,385.54,389.58,105363429,0
03/02/2021,16:00,389.80,390.07,386.00,386.54,79595817,0
03/03/2021,16:00,385.79,386.83,381.31,381.42,119940261,0
03/04/2021,16:00,381.22,384.00,371.88,376.70,183433675,0
03/05/2021,16:00,380.46,384.76,372.64,383.63,152041624,0
03/08/2021,16:00,384.66,387.68,381.42,381.72,123150279,0
03/09/2021,16:00,385.85,389.91,385.31,387.17,113633709,0
03/10/2021,16:00,389.69,391.40,388.17,389.58,109902346,0
03/11/2021,16:00,392.23,395.65,391.74,393.53,86248340,0
03/12/2021,16:00,392.07,394.21,391.20,394.06,64653587,0
03/15/2021,16:00,394.33,396.69,392.03,396.41,73593118,0
03/16/2021,16:00,397.07,397.83,395.08,395.91,73722602,0
03/17/2021,16:00,394.53,398.12,393.30,397.26,97962058,0
03/18/2021,16:00,394.48,396.72,390.75,391.48,115349835,0
03/19/2021,16:00,389.88,391.57,387.15,389.48,113648133,0
03/22/2021,16:00,390.03,394.07,389.97,392.59,73778694,0
03/23/2021,16:00,391.91,393.46,388.66,389.50,90686552,0
03/24/2021,16:00,391.00,392.75,387.47,387.52,97591479,0
03/25/2021,16:00,385.98,390.55,383.90,389.70,116129116,0
03/26/2021,16:00,390.93,396.41,390.29,395.98,114413128,0
03/29/2021,16:00,394.40,396.75,392.81,395.78,108107654,0
03/30/2021,16:00,394.42,395.45,393.02,394.73,76262269,0
03/31/2021,16:00,395.34,398.00,395.31,396.33,112736801,0
04/01/2021,16:00,398.40,400.67,398.18,400.61,99683355,0
04/05/2021,16:00,403.46,406.94,403.38,406.36,91687291,0
04/06/2021,16:00,405.76,407.24,405.40,406.12,62021261,0
04/07/2021,16:00,405.94,406.96,405.45,406.59,55836545,0
04/08/2021,16:00,407.93,408.58,406.93,408.52,57863117,0
04/09/2021,16:00,408.39,411.67,408.26,411.49,61104653,0
04/12/2021,16:00,410.85,411.93,410.20,411.64,56705002,0
04/13/2021,16:00,411.53,413.53,411.12,412.86,56551001,0
04/14/2021,16:00,412.83,413.96,410.87,411.45,61662144,0
04/15/2021,16:00,413.74,416.16,413.69,415.87,60230018,0
04/16/2021,16:00,417.25,417.91,415.73,417.26,82037323,0
04/19/2021,16:00,416.26,416.74,413.79,415.21,78503747,0
04/20/2021,16:00,413.91,415.09,410.59,412.17,81852681,0
04/21/2021,16:00,411.51,416.29,411.36,416.07,66793086,0
04/22/2021,16:00,415.89,416.78,411.13,412.27,97583147,0
04/23/2021,16:00,412.87,418.25,412.79,416.74,73276425,0
04/26/2021,16:00,417.44,418.22,416.81,417.61,52182767,0
04/27/2021,16:00,417.93,418.14,416.30,417.52,51303096,0
04/28/2021,16:00,417.81,419.01,416.90,417.40,51239857,0
04/29/2021,16:00,420.32,420.72,416.44,420.06,78544444,0
04/30/2021,16:00,417.63,418.54,416.34,417.30,85527587,0
05/03/2021,16:00,419.43,419.84,417.67,418.20,68128374,0
05/04/2021,16:00,416.07,416.60,411.67,415.62,101596507,0
05/05/2021,16:00,417.38,417.63,415.15,415.75,39961263,0
05/06/2021,16:00,415.83,419.21,413.68,419.07,74321431,0
05/07/2021,16:00,419.89,422.82,419.16,422.12,67733907,0
05/10/2021,16:00,422.50,422.74,417.81,417.94,81853001,0
05/11/2021,16:00,413.10,415.27,410.06,414.21,116888453,0
05/12/2021,16:00,411.23,412.59,404.00,405.41,134820372,0
05/13/2021,16:00,407.07,412.35,407.02,410.28,106394674,0
05/14/2021,16:00,413.21,417.49,413.18,416.58,82202446,0
05/17/2021,16:00,415.39,416.39,413.36,415.52,65129884,0
05/18/2021,16:00,415.80,416.06,411.77,411.94,59811383,0
05/19/2021,16:00,406.92,411.05,405.33,410.86,106467552,0
05/20/2021,16:00,411.80,416.63,411.67,415.28,78022318,0
05/21/2021,16:00,416.87,418.20,414.45,414.94,76582374,0
05/24/2021,16:00,417.34,420.32,417.08,419.17,51376811,0
05/25/2021,16:00,420.33,420.71,417.62,418.24,57451769,0
05/26/2021,16:00,418.87,419.61,417.76,419.07,43088808,0
05/27/2021,16:00,420.17,420.72,418.99,419.29,56707708,0
05/28/2021,16:00,420.97,421.25,419.79,420.04,58520791,0
06/01/2021,16:00,422.57,422.72,419.20,419.67,54217126,0
06/02/2021,16:00,420.37,421.23,419.29,420.33,49097063,0
06/03/2021,16:00,417.85,419.99,416.28,418.77,58138824,0
06/04/2021,16:00,420.75,422.92,420.68,422.60,55938895,0
06/07/2021,16:00,422.59,422.78,421.19,422.19,51555042,0
06/08/2021,16:00,423.16,423.21,420.32,422.28,47134281,0
06/09/2021,16:00,423.18,423.26,421.41,421.65,48436353,0
06/10/2021,16:00,422.96,424.63,421.55,423.61,51020151,0
06/11/2021,16:00,424.20,424.43,422.82,424.31,45570997,0
06/14/2021,16:00,424.43,425.37,423.10,425.26,42359043,0
06/15/2021,16:00,425.42,425.46,423.54,424.48,51508522,0
06/16/2021,16:00,424.63,424.87,419.92,422.11,80386208,0
06/17/2021,16:00,421.67,423.02,419.32,421.97,90951353,0
06/18/2021,16:00,417.09,417.83,414.70,414.92,118679007,0
06/21/2021,16:00,416.80,421.06,415.93,420.86,72823120,0
06/22/2021,16:00,420.85,424.00,420.08,423.11,57700353,0
06/23/2021,16:00,423.19,424.05,422.51,422.60,49445426,0
06/24/2021,16:00,424.89,425.55,424.62,425.10,45110295,0
06/25/2021,16:00,425.90,427.09,425.55,426.61,58129528,0
06/28/2021,16:00,427.17,427.65,425.89,427.47,53159582,0
06/29/2021,16:00,427.88,428.56,427.13,427.70,35970523,0
06/30/2021,16:00,427.21,428.78,427.18,428.06,64828583,0
07/01/2021,16:00,428.87,430.60,428.80,430.43,53441537,0
07/02/2021,16:00,431.67,434.10,431.33,433.72,57697674,0
07/06/2021,16:00,433.78,434.01,430.01,432.93,68711021,0
07/07/2021,16:00,433.66,434.76,431.51,434.46,63551561,0
07/08/2021,16:00,428.78,431.73,427.52,430.92,97595347,0
07/09/2021,16:00,432.53,435.84,430.71,435.52,76239957,0
07/12/2021,16:00,435.43,437.35,434.97,437.08,52889588,0
07/13/2021,16:00,436.24,437.84,435.31,435.59,52911712,0
07/14/2021,16:00,437.40,437.92,434.91,436.24,64130972,0
07/15/2021,16:00,434.81,435.53,432.72,434.75,55126488,0
07/16/2021,16:00,436.01,436.06,430.92,431.34,75875589,0
07/19/2021,16:00,426.19,426.71,421.97,424.97,147987358,0
07/20/2021,16:00,425.68,432.42,424.83,431.06,99608209,0
07/21/2021,16:00,432.34,434.70,431.01,434.55,64724393,0
07/22/2021,16:00,434.74,435.72,433.69,435.46,47879375,0
07/23/2021,16:00,437.52,440.30,436.79,439.94,63767161,0
07/26/2021,16:00,439.31,441.03,439.26,441.02,43720487,0
07/27/2021,16:00,439.91,439.94,435.99,439.01,67397497,0
07/28/2021,16:00,439.68,440.30,437.31,438.83,52472521,0
07/29/2021,16:00,439.82,441.80,439.81,440.65,47437385,0
07/30/2021,16:00,437.91,440.06,437.77,438.51,68953070,0
08/02/2021,16:00,440.34,440.93,437.21,437.59,58784549,0
08/03/2021,16:00,438.44,441.28,436.10,441.15,58053897,0
08/04/2021,16:00,439.78,441.12,438.73,438.98,46732785,0
08/05/2021,16:00,440.22,441.85,439.88,441.76,38969677,0
08/06/2021,16:00,442.10,442.94,441.80,442.49,46931291,0
08/09/2021,16:00,442.46,442.80,441.31,442.13,41222745,0
08/10/2021,16:00,442.61,443.44,441.88,442.68,43339613,0
08/11/2021,16:00,443.82,443.88,442.62,443.78,44034346,0
08/12/2021,16:00,443.62,445.26,442.66,445.11,38942438,0
08/13/2021,16:00,445.59,445.94,445.07,445.92,39470494,0
08/16/2021,16:00,444.53,447.11,442.87,446.97,73933319,0
08/17/2021,16:00,444.24,444.96,440.85,444.04,92674061,0
08/18/2021,16:00,442.96,444.63,438.92,439.18,89354915,0
08/19/2021,16:00,436.27,441.14,436.12,439.86,92813411,0
08/20/2021,16:00,440.23,443.71,439.71,443.36,72009652,0
08/23/2021,16:00,445.16,448.23,443.44,447.26,54973234,0
08/24/2021,16:00,447.97,448.54,447.42,447.97,38745032,0
08/25/2021,16:00,448.17,449.46,447.77,448.91,40529938,0
08/26/2021,16:00,448.61,448.86,446.16,446.26,57830658,0
08/27/2021,16:00,447.12,450.65,447.06,450.25,77235261,0
08/30/2021,16:00,450.97,453.07,450.71,452.23,48357970,0
08/31/2021,16:00,452.13,452.49,450.92,451.56,59300377,0
09/01/2021,16:00,452.56,453.11,451.55,451.80,48722550,0
09/02/2021,16:00,453.32,454.05,451.91,453.19,42830943,0
09/03/2021,16:00,451.98,453.63,451.55,453.08,47235338,0
09/07/2021,16:00,452.71,452.81,450.74,451.46,51674737,0
09/08/2021,16:00,450.89,451.67,448.86,450.91,56182757,0
09/09/2021,16:00,450.70,452.57,448.72,448.98,57972418,0
09/10/2021,16:00,451.04,451.49,445.31,445.44,89951731,0
09/13/2021,16:00,448.64,448.92,444.11,446.58,83738676,0
09/14/2021,16:00,448.12,448.34,443.22,444.17,78201595,0
09/15/2021,16:00,444.62,448.41,443.44,447.88,78793740,0
09/16/2021,16:00,447.32,448.36,444.02,447.17,77787871,0
09/17/2021,16:00,444.92,445.37,441.02,441.40,118430175,0
09/20/2021,16:00,434.88,436.56,428.86,434.04,166453272,0
09/21/2021,16:00,436.53,437.91,433.07,433.63,92528323,0
09/22/2021,16:00,436.05,440.03,433.75,437.86,102353638,0
09/23/2021,16:00,439.85,444.89,439.60,443.18,76401151,0
09/24/2021,16:00,441.44,444.67,441.21,443.91,62095286,0
09/27/2021,16:00,442.81,444.05,441.90,442.64,61377008,0
09/28/2021,16:00,439.69,440.04,432.94,433.72,130437828,0
09/29/2021,16:00,435.19,437.04,433.85,434.45,82329614,0
09/30/2021,16:00,436.02,436.77,428.78,429.14,140508566,0
10/01/2021,16:00,430.98,436.03,427.23,434.24,129242268,0
10/04/2021,16:00,433.00,433.96,426.36,428.64,128570094,0
10/05/2021,16:00,430.24,435.49,429.39,433.10,90684709,0
10/06/2021,16:00,429.27,435.12,427.54,434.90,113033426,0
10/07/2021,16:00,438.39,441.68,438.20,438.66,72437554,0
10/08/2021,16:00,439.48,439.89,437.19,437.86,74558233,0
10/11/2021,16:00,437.16,440.26,434.62,434.69,65234087,0
10/12/2021,16:00,435.67,436.10,432.78,433.62,71182610,0
10/13/2021,16:00,434.71,436.05,431.54,435.18,72976378,0
10/14/2021,16:00,439.08,442.66,438.58,442.50,70237155,0
10/15/2021,16:00,444.75,446.26,444.09,445.87,66263795,0
10/18/2021,16:00,443.97,447.55,443.27,447.19,62213276,0
10/19/2021,16:00,448.92,450.71,448.27,450.64,46997388,0
10/20/2021,16:00,451.13,452.73,451.01,452.41,49571572,0
10/21/2021,16:00,451.77,453.83,451.31,453.59,41307154,0
10/22/2021,16:00,453.13,454.67,451.05,453.12,58845393,0
10/25/2021,16:00,454.28,455.90,452.39,455.55,45216002,0
10/26/2021,16:00,457.20,458.49,455.56,455.96,56075119,0
10/27/2021,16:00,456.45,457.16,453.86,453.94,72438002,0
10/28/2021,16:00,455.46,458.40,455.45,458.32,51437970,0
10/29/2021,16:00,455.87,459.56,455.56,459.25,70163049,0
11/01/2021,16:00,460.30,460.70,458.20,460.04,48433668,0
11/02/2021,16:00,460.22,462.23,460.08,461.90,48908825,0
11/03/2021,16:00,461.30,465.15,460.83,464.72,52509909,0
11/04/2021,16:00,465.36,467.00,464.99,466.91,52847099,0
11/05/2021,16:00,469.28,470.65,466.92,468.53,66391112,0
11/08/2021,16:00,469.70,470.23,468.20,468.93,50405329,0
11/09/2021,16:00,469.32,469.57,465.88,467.38,51149282,0
11/10/2021,16:00,465.58,467.38,462.04,463.62,69429687,0
11/11/2021,16:00,465.21,465.29,463.75,463.77,34848733,0
11/12/2021,16:00,465.12,467.86,464.11,467.27,53467311,0
11/15/2021,16:00,468.64,468.81,466.23,467.43,46981705,0
11/16/2021,16:00,467.15,470.49,467.07,469.28,48857502,0
11/17/2021,16:00,469.00,469.19,467.48,468.14,47863152,0
11/18/2021,16:00,469.24,470.01,466.34,469.73,50626702,0
11/19/2021,16:00,469.61,470.94,468.50,468.89,57317354,0
11/22/2021,16:00,470.89,473.54,467.35,467.57,72764442,0
11/23/2021,16:00,467.22,469.10,464.45,468.19,73206589,0
11/24/2021,16:00,466.06,469.57,465.19,469.44,61863441,0
11/26/2021,16:00,462.34,463.90,457.77,458.97,112672521,0
11/29/2021,16:00,464.07,466.56,461.73,464.60,86272134,0
11/30/2021,16:00,462.00,464.03,455.30,455.56,148561046,0
12/01/2021,16:00,461.64,464.67,450.29,450.50,132487649,0
12/02/2021,16:00,450.73,459.07,450.31,457.40,127638059,0
12/03/2021,16:00,459.17,460.30,448.92,453.42,137331983,0
12/06/2021,16:00,456.13,460.79,453.56,458.79,98982025,0
12/07/2021,16:00,464.41,468.88,464.35,468.28,95484748,0
12/08/2021,16:00,468.70,470.00,466.83,469.52,72239787,0
12/09/2021,16:00,468.15,469.63,466.14,466.35,61274639,0
12/10/2021,16:00,469.23,470.90,466.51,470.74,77160853,0
12/13/2021,16:00,470.19,470.56,466.27,466.57,87724848,0
12/14/2021,16:00,463.09,465.74,460.25,463.36,97264149,0
12/15/2021,16:00,463.42,470.86,460.74,470.60,116929709,0
12/16/2021,16:00,472.57,472.87,464.80,466.45,116569138,0
12/17/2021,16:00,461.55,464.74,458.06,459.87,135640538,0
12/20/2021,16:00,454.48,455.40,451.14,454.98,107134966,0
12/21/2021,16:00,458.61,463.21,456.31,463.06,69806323,0
12/22/2021,16:00,462.79,467.81,462.58,467.69,58890617,0
12/23/2021,16:00,468.75,472.19,468.64,470.60,56439819,0
12/27/2021,16:00,472.06,477.31,472.01,477.26,56808671,0
12/28/2021,16:00,477.72,478.81,476.06,476.87,47274596,0
12/29/2021,16:00,476.98,478.56,475.92,477.48,54503172,0
12/30/2021,16:00,477.93,479.00,475.67,476.16,55329114,0
12/31/2021,16:00,475.64,476.86,474.67,474.96,65237910,0
01/03/2022,16:00,476.30,477.85,473.85,477.71,72668411,0
01/04/2022,16:00,479.22,479.98,475.58,477.55,71178700,0
01/05/2022,16:00,477.16,477.98,468.28,468.38,104539173,0
01/06/2022,16:00,467.89,470.82,465.43,467.94,86859733,0
01/07/2022,16:00,467.95,469.20,464.65,466.09,85112390,0
01/10/2022,16:00,462.70,465.74,456.60,465.51,119362096,0
01/11/2022,16:00,465.23,469.85,462.05,469.75,74303257,0
01/12/2022,16:00,471.59,473.20,468.94,471.02,67605453,0
01/13/2022,16:00,472.19,472.88,463.44,464.53,91173152,0
01/14/2022,16:00,461.19,465.09,459.90,464.72,95892492,0
01/18/2022,16:00,459.74,459.96,455.31,456.49,109873001,0
01/19/2022,16:00,458.13,459.61,451.46,451.75,109357724,0
01/20/2022,16:00,453.75,458.74,444.50,446.75,122380561,0
01/21/2022,16:00,445.56,448.06,437.95,437.98,202271563,0
01/24/2022,16:00,432.03,440.38,420.76,439.84,252500040,0
01/25/2022,16:00,433.06,439.72,427.15,434.47,167997325,0
01/26/2022,16:00,440.72,444.04,428.86,433.38,186391467,0
01/27/2022,16:00,438.26,441.59,429.45,431.24,149878501,0
01/28/2022,16:00,432.68,442.00,427.82,441.95,164458243,0
01/31/2022,16:00,441.24,450.28,439.81,449.91,152251635,0
02/01/2022,16:00,450.68,453.63,446.94,452.95,123155401,0
02/02/2022,16:00,455.50,458.12,453.05,457.35,117361017,0
02/03/2022,16:00,450.95,452.97,445.71,446.60,118024987,0
02/04/2022,16:00,446.35,452.78,443.83,448.70,118454364,0
02/07/2022,16:00,449.51,450.99,445.85,447.26,84473369,0
02/08/2022,16:00,446.73,451.92,445.22,450.94,81012910,0
02/09/2022,16:00,455.22,457.88,455.01,457.54,92590967,0
02/10/2022,16:00,451.34,457.71,447.20,449.32,140105046,0
02/11/2022,16:00,449.41,451.61,438.94,440.46,153215858,0
02/14/2022,16:00,439.92,441.60,435.34,439.02,123007244,0
02/15/2022,16:00,443.73,446.28,443.18,446.10,88660103,0
02/16/2022,16:00,443.93,448.06,441.94,446.60,84863927,0
02/17/2022,16:00,443.22,446.57,436.42,437.06,102260840,0
02/18/2022,16:00,437.33,438.66,431.82,434.23,132646286,0
02/22/2022,16:00,431.89,435.50,425.86,429.57,124401905,0
